----------------------------------------
Global Perplexity over 521 songs: 1.1616
----------------------------------------

Accord_arpege: tokens=68, perplexity=1.2060
Aguado_12valses_Op1_No10: tokens=476, perplexity=1.0793
Aguado_12valses_Op1_No3: tokens=277, perplexity=1.1238
Aguado_Contredanses_Non_Difficiles_Op9_No9: tokens=512, perplexity=1.0856
Aguado_Leccion_No23: tokens=150, perplexity=1.0601
Aguado_Lesson_No1: tokens=293, perplexity=1.1277
Aguado_Minuet_Emajor: tokens=455, perplexity=1.0877
Aguado_Nuevo_Metodo_Op6_Leccion44: tokens=186, perplexity=1.2563
Aguado_Op6_Leccion33: tokens=197, perplexity=1.1612
Aguado_Rondo_Op2_No4: tokens=1023, perplexity=1.1469
Aguado_Section_Tercera_Estudio_%20No20_Op6: tokens=334, perplexity=1.1654
Aguado_Section_Tercera_Estudio_%20No23_Op6: tokens=293, perplexity=1.1097
Aguado_Seis_Pequenas_Piezas_Op4_No1: tokens=475, perplexity=1.1481
Aguado_Valse2_Op.12: tokens=361, perplexity=1.1136
Albeniz_Aragon: tokens=1018, perplexity=1.1747
Albeniz_Cadiz: tokens=1017, perplexity=1.1509
Anonym_Estilo_Popular_No2: tokens=399, perplexity=1.0767
Anonym_Folias: tokens=731, perplexity=1.0866
Anonym_Las_Mananitas: tokens=375, perplexity=1.0809
Anonymous_Le_Rossignol: tokens=505, perplexity=1.2650
Arcas_Madrileno: tokens=287, perplexity=1.2819
Arcas_Rondena: tokens=1019, perplexity=1.1785
Arcas_Variaciones_Sobre_Tema_Sor: tokens=1015, perplexity=1.1298
Azpiazu_Barrio_de_Santa_Cruz: tokens=356, perplexity=1.4168
Azpiazu_Catalonya: tokens=387, perplexity=1.2155
Azpiazu_El_Vito: tokens=347, perplexity=1.1453
Azpiazu_Fandanguillo: tokens=557, perplexity=1.1435
Azpiazu_Murciana_Danza: tokens=786, perplexity=1.1544
Azpiazu_Salmantina_Danza: tokens=472, perplexity=1.0780
Bacci_Cria_Cuervos: tokens=806, perplexity=1.1495
Bach_Aria_BWV515: tokens=261, perplexity=1.1093
Bach_BWV40: tokens=145, perplexity=1.2473
Bach_Cantate_BWV156_Sinfonia: tokens=236, perplexity=1.1725
Bach_Cantate_BWV198_TrauerOde: tokens=1023, perplexity=1.1780
Bach_Cello_Suite_No1_BWV1007_Sarabande: tokens=334, perplexity=1.4352
Bach_Cello_Suite_No2_BWV1008_Courante: tokens=521, perplexity=1.1469
Bach_Contrepoint_No13a_BWV1080: tokens=445, perplexity=1.1566
Bach_Das_Alte_Jahr_Vergangen_Ist_BWV614: tokens=124, perplexity=1.3032
Bach_English_Suite_No6_BWV811_Gigue: tokens=1023, perplexity=1.1725
Bach_French_Suite_No2_BWV813_Allemande: tokens=474, perplexity=1.2177
Bach_French_Suite_No4_BWV815_Courante: tokens=783, perplexity=1.1043
Bach_French_Suite_No5_BWV816_5Bourree: tokens=263, perplexity=1.1871
Bach_Fugue14_Clavier_tempere2: tokens=772, perplexity=1.3687
Bach_Fugue1_Clavier_tempere2: tokens=721, perplexity=1.1978
Bach_Fugue24_Clavier_tempere2: tokens=910, perplexity=1.1692
Bach_Konzert_BWV593: tokens=727, perplexity=1.2922
Bach_Partita_3Sarabande_BWV832: tokens=404, perplexity=1.1312
Bach_Partita_No1_BWV825_MenuetI: tokens=419, perplexity=1.1296
Bach_Suite_BWV1025_6Menuet: tokens=1023, perplexity=1.1731
Bach_Suite_for_lute_BWV996_Sarabande: tokens=761, perplexity=1.1443
Bach_Suite_no3_BWV995_Courante: tokens=285, perplexity=1.1854
Bach_Suite_no3_BWV995_Gavotte_II: tokens=809, perplexity=1.0972
Bach_Variation_Goldberg_BWV988_Aria2: tokens=348, perplexity=1.0844
Bach_Variation_Goldberg_BWV988_var10: tokens=666, perplexity=1.0944
Bachovich_Fugue_02_in%20Am: tokens=1023, perplexity=1.3460
Bachovich_Serenade_guitar_duo: tokens=1023, perplexity=1.2444
Barrios_Mangore_Choro_da_saudade: tokens=1023, perplexity=1.1104
Barrios_Mangore_Danza_Guarani: tokens=537, perplexity=1.0874
Barrios_Mangore_Dinora: tokens=509, perplexity=1.1440
Barrios_Mangore_Humoresque: tokens=474, perplexity=1.1079
Barrios_Mangore_La_Catedral-2_Andante_Religioso: tokens=296, perplexity=1.2909
Barrios_Mangore_Minueto_do: tokens=286, perplexity=1.1382
Barrios_Mangore_Oracion_Todos: tokens=443, perplexity=1.1684
Beethoven_Minueto_Op31_No3%20: tokens=1021, perplexity=1.0946
Britten_Op70_Nocturnal_8_Passacaglia: tokens=894, perplexity=1.4756
