----------------------------------------
Global Perplexity over 521 songs: 1.1674
----------------------------------------

Accord_arpege: tokens=68, perplexity=1.2139
Aguado_12valses_Op1_No10: tokens=476, perplexity=1.0882
Aguado_12valses_Op1_No3: tokens=277, perplexity=1.1374
Aguado_Contredanses_Non_Difficiles_Op9_No9: tokens=512, perplexity=1.0884
Aguado_Leccion_No23: tokens=150, perplexity=1.0760
Aguado_Lesson_No1: tokens=293, perplexity=1.1404
Aguado_Minuet_Emajor: tokens=455, perplexity=1.0920
Aguado_Nuevo_Metodo_Op6_Leccion44: tokens=186, perplexity=1.2621
Aguado_Op6_Leccion33: tokens=197, perplexity=1.1625
Aguado_Rondo_Op2_No4: tokens=1023, perplexity=1.1792
Aguado_Section_Tercera_Estudio_%20No20_Op6: tokens=334, perplexity=1.1801
Aguado_Section_Tercera_Estudio_%20No23_Op6: tokens=293, perplexity=1.1233
Aguado_Seis_Pequenas_Piezas_Op4_No1: tokens=475, perplexity=1.1541
Aguado_Valse2_Op.12: tokens=361, perplexity=1.1133
Albeniz_Aragon: tokens=1023, perplexity=1.2044
Albeniz_Cadiz: tokens=1017, perplexity=1.1553
Anonym_Estilo_Popular_No2: tokens=399, perplexity=1.0813
Anonym_Folias: tokens=731, perplexity=1.0930
Anonym_Las_Mananitas: tokens=375, perplexity=1.0807
Anonymous_Le_Rossignol: tokens=505, perplexity=1.2752
Arcas_Madrileno: tokens=287, perplexity=1.2902
Arcas_Rondena: tokens=1023, perplexity=1.1752
Arcas_Variaciones_Sobre_Tema_Sor: tokens=1023, perplexity=1.1409
Azpiazu_Barrio_de_Santa_Cruz: tokens=356, perplexity=1.4372
Azpiazu_Catalonya: tokens=387, perplexity=1.2294
Azpiazu_El_Vito: tokens=347, perplexity=1.1504
Azpiazu_Fandanguillo: tokens=557, perplexity=1.1571
Azpiazu_Murciana_Danza: tokens=786, perplexity=1.1591
Azpiazu_Salmantina_Danza: tokens=472, perplexity=1.0829
Bacci_Cria_Cuervos: tokens=806, perplexity=1.1543
Bach_Aria_BWV515: tokens=261, perplexity=1.1111
Bach_BWV40: tokens=145, perplexity=1.2561
Bach_Cantate_BWV156_Sinfonia: tokens=236, perplexity=1.1814
Bach_Cantate_BWV198_TrauerOde: tokens=1023, perplexity=1.1851
Bach_Cello_Suite_No1_BWV1007_Sarabande: tokens=334, perplexity=1.4451
Bach_Cello_Suite_No2_BWV1008_Courante: tokens=521, perplexity=1.1514
Bach_Contrepoint_No13a_BWV1080: tokens=445, perplexity=1.1601
Bach_Das_Alte_Jahr_Vergangen_Ist_BWV614: tokens=124, perplexity=1.3159
Bach_English_Suite_No6_BWV811_Gigue: tokens=1023, perplexity=1.1817
Bach_French_Suite_No2_BWV813_Allemande: tokens=474, perplexity=1.2218
Bach_French_Suite_No4_BWV815_Courante: tokens=783, perplexity=1.1077
Bach_French_Suite_No5_BWV816_5Bourree: tokens=263, perplexity=1.1999
Bach_Fugue14_Clavier_tempere2: tokens=772, perplexity=1.3838
Bach_Fugue1_Clavier_tempere2: tokens=721, perplexity=1.2017
Bach_Fugue24_Clavier_tempere2: tokens=910, perplexity=1.1773
Bach_Konzert_BWV593: tokens=727, perplexity=1.2956
Bach_Partita_3Sarabande_BWV832: tokens=404, perplexity=1.1306
Bach_Partita_No1_BWV825_MenuetI: tokens=419, perplexity=1.1354
Bach_Suite_BWV1025_6Menuet: tokens=1023, perplexity=1.1813
Bach_Suite_for_lute_BWV996_Sarabande: tokens=761, perplexity=1.1523
Bach_Suite_no3_BWV995_Courante: tokens=285, perplexity=1.1958
Bach_Suite_no3_BWV995_Gavotte_II: tokens=809, perplexity=1.1072
Bach_Variation_Goldberg_BWV988_Aria2: tokens=348, perplexity=1.0906
Bach_Variation_Goldberg_BWV988_var10: tokens=666, perplexity=1.1027
Bachovich_Fugue_02_in%20Am: tokens=1023, perplexity=1.3520
Bachovich_Serenade_guitar_duo: tokens=1023, perplexity=1.2513
Barrios_Mangore_Choro_da_saudade: tokens=1023, perplexity=1.1114
Barrios_Mangore_Danza_Guarani: tokens=537, perplexity=1.0886
Barrios_Mangore_Dinora: tokens=509, perplexity=1.1483
Barrios_Mangore_Humoresque: tokens=474, perplexity=1.1139
Barrios_Mangore_La_Catedral-2_Andante_Religioso: tokens=296, perplexity=1.3020
Barrios_Mangore_Minueto_do: tokens=286, perplexity=1.1459
Barrios_Mangore_Oracion_Todos: tokens=443, perplexity=1.1751
Beethoven_Minueto_Op31_No3%20: tokens=1023, perplexity=1.0976
Britten_Op70_Nocturnal_8_Passacaglia: tokens=894, perplexity=1.4823
Broca_Albores_No1: tokens=479, perplexity=1.1032
Broca_Amistad: tokens=1023, perplexity=1.2079
Broca_Ultimo_Canto_2Tema: tokens=215, perplexity=1.1724
Brouwer_Concerto_guitar_No4_1ermov: tokens=1023, perplexity=1.1621
Brouwer_Micro_Piezas_No1: tokens=309, perplexity=1.3649
Brouwer_Rito_Orishas_%202Danza_Diosas_Negras: tokens=1023, perplexity=1.4327
Brouwer_Rito_Orishas_1Exordium-conjuro: tokens=705, perplexity=1.3333
Brouwer_Zapateado: tokens=517, perplexity=1.1237
Byrde_Sellengers_Round: tokens=219, perplexity=1.1267
Carcassi_Arie_aus_Cenerentola_von_Rossini2: tokens=669, perplexity=1.0862
Carcassi_Etrennes_Aux_Amateurs_3e_Air_Op8: tokens=709, perplexity=1.0769
Carcassi_Etude_No13_Op60: tokens=436, perplexity=1.1128
Carcassi_Etude_No21_Op60: tokens=394, perplexity=1.1996
Carcassi_Etude_No22_Op60: tokens=289, perplexity=1.1926
Carcassi_Etude_No23_Op60: tokens=291, perplexity=1.1942
Carcassi_Mosaique_sur_Opera_Domingo_Noir: tokens=1023, perplexity=1.1645
Carcassi_Recreations_Commencants_Op21_No16: tokens=561, perplexity=1.0462
Carcassi_Recreations_Musicales_Suite_No1_4Air_Russe: tokens=1021, perplexity=1.1467
Carcassi_Six_Airs_Varies_Op18_2Aussitot_que_Lumiere: tokens=1020, perplexity=1.1141
Carcassi_Six_Airs_Varies_Op18_5Danse_Favorite_Ballet_Arsene: tokens=1023, perplexity=1.0870
Carcassi_Valse: tokens=499, perplexity=1.0502
Carcassi_Valse_Favorite_Duc_Reichstadt_Variee_Op52: tokens=1023, perplexity=1.0887
Carcassi_Valse_Op11_No9: tokens=373, perplexity=1.0662
Carcassi_Valse_Op4_No2: tokens=397, perplexity=1.0563
Cardoso_24_Piezas_Sudamericanas_5Wayno: tokens=400, perplexity=1.2008
Cardoso_48_Piezas_Suite_de_los_Mita_39_Pasillo_Costarricense: tokens=164, perplexity=1.2072
Cardoso_Suite_Mita_Vol2_2Chamarrita_Clementina_Bacci: tokens=237, perplexity=1.1239
Cardoso_Suite_Mita_Vol2_6Cueca_Josef: tokens=247, perplexity=1.1590
Cardoso_Suite_Popular_No3_2_Cancion: tokens=1022, perplexity=1.1417
Cardoso_Suite_Popular_No3_Vals_Venezolano: tokens=727, perplexity=1.1489
Carlevaro_Milonga_Oriental: tokens=699, perplexity=1.2133
Carlevaro_Preludio_Americanos_Campo: tokens=785, perplexity=1.2606
Carlevaro_Preludios_Americanos_No1_Evocacion: tokens=1023, perplexity=1.2153
Carlevaro_Preludios_Americanos_No2_Scherzino: tokens=750, perplexity=1.3065
Carlevaro_Preludios_Americanos_No4_Ronda: tokens=599, perplexity=1.2284
Carlevaro_Preludios_Americanos_No5_Tamboriles: tokens=1023, perplexity=1.2366
Carlevaro_Vidalita: tokens=879, perplexity=1.3134
Carulli_18_Duos_1ere_Suite_No1: tokens=855, perplexity=1.1277
Carulli_18_Duos_1ere_Suite_No7: tokens=789, perplexity=1.1172
Carulli_Duetto_No1_Op128: tokens=1019, perplexity=1.0861
Carulli_Duetto_No2_Op4: tokens=1014, perplexity=1.1048
Carulli_Duetto_Op191_No.2: tokens=1020, perplexity=1.1649
Carulli_Duo_No2_Op128: tokens=1023, perplexity=1.1167
Carulli_Duo_Op34_No4: tokens=1015, perplexity=1.0847
Carulli_Duo_Op37_Romanza: tokens=657, perplexity=1.1015
Carulli_Fantaisie_Air_national_anglais_Op102: tokens=1017, perplexity=1.1340
Carulli_Huguenots_Grand_Air: tokens=541, perplexity=1.2472
Carulli_Huguenots_Orgie: tokens=1021, perplexity=1.1571
Carulli_Moderato_Op211_No18: tokens=1020, perplexity=1.1029
Carulli_Prelude2: tokens=58, perplexity=1.1410
Carulli_Sonate_No3_Op21_3_Rondeau_Allegretto_Con_Poco_Moto: tokens=1018, perplexity=1.1348
Carulli_Trois_Duos_Op89_No2: tokens=1023, perplexity=1.1099
Carulli_Trois_Duos_Op89_No3: tokens=1023, perplexity=1.1034
Carulli_Variations_Op142: tokens=1023, perplexity=1.1461
Castelnuovo-Tedesco_Fugue%2015: tokens=698, perplexity=1.2639
Castelnuovo-Tedesco_Fugue%2023: tokens=377, perplexity=1.3711
Castelnuovo-Tedesco_Fugue9_Op199: tokens=569, perplexity=1.2660
Castelnuovo-Tedesco_Prelude%2024: tokens=595, perplexity=1.1539
Castelnuovo-Tedesco_Prelude8_Op199: tokens=658, perplexity=1.1738
Chopin_Nocturne_No20: tokens=383, perplexity=1.4857
Chopin_Nocturne_Op27_No1: tokens=1023, perplexity=1.2135
Chopin_Valse_Op64_No2: tokens=1023, perplexity=1.1348
Cisneros_Homenaje_Lauro: tokens=892, perplexity=1.0874
Cisneros_Homenaje_Raul_Borges: tokens=500, perplexity=1.1413
Cisneros_Loriana: tokens=547, perplexity=1.1047
Cisneros_Na-Shi-suam: tokens=558, perplexity=1.1181
Cisneros_Norah: tokens=563, perplexity=1.1138
Cisneros_Vals_Venezolano_No2: tokens=546, perplexity=1.0931
Cisneros_Zulay: tokens=735, perplexity=1.0994
Coste_Etude_Op38_No17: tokens=293, perplexity=1.2658
Coste_La_Vallee_d'Omans_Montagnards3_Op17: tokens=1023, perplexity=1.1197
Coste_Livre_Or_No27bis_Op52: tokens=289, perplexity=1.1428
Coste_Menuet_Exaudet_Op52_No15: tokens=258, perplexity=1.0918
Coste_Montagnard_Op34: tokens=1023, perplexity=1.2407
Coste_Op2_1_Theme: tokens=197, perplexity=1.1833
Coste_Prelude_Op49_No3: tokens=79, perplexity=1.3365
Coste_Quadrilles_Contredanse%20Op3_No2b: tokens=229, perplexity=1.1947
Coste_Quadrilles_Contredanse%20Op3_No3: tokens=221, perplexity=1.1827
Coste_Souvenirs_de_Flandres_Op5_No3_Valse: tokens=563, perplexity=1.1235
Coste_Valse_Op41_No4%20: tokens=1023, perplexity=1.0951
Coste_Valse_Op7_No7: tokens=167, perplexity=1.0955
Cutting_Almain: tokens=343, perplexity=1.2431
Cutting_Anne_Markham_Galliard: tokens=506, perplexity=1.2085
Cutting_Anne_Markham_Pavana: tokens=610, perplexity=1.3448
Cutting_Pavana: tokens=951, perplexity=1.1543
Cutting_Porter_Pavana: tokens=669, perplexity=1.1931
Cutting_Toy: tokens=197, perplexity=1.1231
Debussy_Berceuse_Heroique: tokens=661, perplexity=1.4403
Diabelli_Apollo_am_Damentoilette_Heft1_No10: tokens=193, perplexity=1.1277
Diabelli_Apollo_am_Damentoilette_Heft1_No3: tokens=210, perplexity=1.2126
Diabelli_Apollo_am_Damentoilette_Heft2_No15: tokens=182, perplexity=1.1049
Diabelli_Apollo_am_Damentoilette_Heft4_No6: tokens=237, perplexity=1.0464
Diabelli_Apollo_am_Damentoilette_Heft9_No3: tokens=401, perplexity=1.2117
Diabelli_Apollo_am_Damentoilette_Heft9_No5: tokens=312, perplexity=1.2286
