----------------------------------------
Global Perplexity over 521 songs: 1.6624
----------------------------------------

Accord_arpege: tokens=68, perplexity=1.5755
Aguado_12valses_Op1_No10: tokens=476, perplexity=1.7397
Aguado_12valses_Op1_No3: tokens=277, perplexity=1.5406
Aguado_Contredanses_Non_Difficiles_Op9_No9: tokens=512, perplexity=1.3790
Aguado_Leccion_No23: tokens=150, perplexity=1.2547
Aguado_Lesson_No1: tokens=293, perplexity=1.6069
Aguado_Minuet_Emajor: tokens=455, perplexity=1.4832
Aguado_Nuevo_Metodo_Op6_Leccion44: tokens=186, perplexity=1.5595
Aguado_Op6_Leccion33: tokens=197, perplexity=1.5531
Aguado_Rondo_Op2_No4: tokens=1023, perplexity=1.4887
Aguado_Section_Tercera_Estudio_%20No20_Op6: tokens=334, perplexity=1.4781
Aguado_Section_Tercera_Estudio_%20No23_Op6: tokens=293, perplexity=1.7969
Aguado_Seis_Pequenas_Piezas_Op4_No1: tokens=475, perplexity=1.6944
Aguado_Valse2_Op.12: tokens=361, perplexity=1.5663
Albeniz_Aragon: tokens=1018, perplexity=1.5775
Albeniz_Cadiz: tokens=1023, perplexity=1.5517
Anonym_Estilo_Popular_No2: tokens=399, perplexity=1.7300
Anonym_Folias: tokens=731, perplexity=1.5180
Anonym_Las_Mananitas: tokens=375, perplexity=1.4464
Anonymous_Le_Rossignol: tokens=505, perplexity=1.7083
Arcas_Madrileno: tokens=287, perplexity=2.1194
Arcas_Rondena: tokens=1023, perplexity=1.4487
Arcas_Variaciones_Sobre_Tema_Sor: tokens=1023, perplexity=1.4822
Azpiazu_Barrio_de_Santa_Cruz: tokens=356, perplexity=2.6169
Azpiazu_Catalonya: tokens=387, perplexity=1.6871
Azpiazu_El_Vito: tokens=347, perplexity=1.9241
Azpiazu_Fandanguillo: tokens=557, perplexity=1.6914
Azpiazu_Murciana_Danza: tokens=786, perplexity=2.3307
Azpiazu_Salmantina_Danza: tokens=472, perplexity=1.4100
Bacci_Cria_Cuervos: tokens=806, perplexity=1.7159
Bach_Aria_BWV515: tokens=261, perplexity=1.8372
Bach_BWV40: tokens=145, perplexity=1.4852
Bach_Cantate_BWV156_Sinfonia: tokens=236, perplexity=2.0309
Bach_Cantate_BWV198_TrauerOde: tokens=1021, perplexity=1.5234
Bach_Cello_Suite_No1_BWV1007_Sarabande: tokens=334, perplexity=2.2245
